gene_id	go_id
Potri.001G042400	GO:0004672
Potri.001G042400	GO:0006468
Potri.001G042500	GO:0004672
Potri.001G042500	GO:0005515
Potri.001G042500	GO:0005524
Potri.001G042500	GO:0006468
Potri.001G042900	GO:0016747
Potri.001G043000	GO:0003824
Potri.001G043000	GO:0004722
Potri.001G043000	GO:0006470
Potri.001G043200	GO:0016020
Potri.001G043200	GO:0030001
Potri.001G043200	GO:0046873
Potri.001G043200	GO:0055085
Potri.001G043400	GO:0005622
Potri.001G043400	GO:0005801
Potri.001G043400	GO:0006888
Potri.001G043600	GO:0009055
Potri.001G043700	GO:0004672
Potri.001G043700	GO:0005524
Potri.001G043700	GO:0006468
Potri.001G043800	GO:0005515
Potri.001G043900	GO:0005216
Potri.001G043900	GO:0006811
Potri.001G043900	GO:0016020
Potri.001G043900	GO:0055085
Potri.001G044100	GO:0008080
Potri.001G044200	GO:0006644
Potri.001G044200	GO:0008170
Potri.001G044300	GO:0008152
Potri.001G044300	GO:0016757
Potri.001G044400	GO:0006284
Potri.001G044400	GO:0008725
Potri.001G044500	GO:0003700
Potri.001G044500	GO:0006355
Potri.001G044500	GO:0043565
Potri.001G044700	GO:0009055
Potri.001G044700	GO:0051536
Potri.001G044900	GO:0005215
Potri.001G044900	GO:0006810
Potri.001G044900	GO:0016020
Potri.001G045000	GO:0003824
Potri.001G045000	GO:0050662
Potri.001G045100	GO:0003854
Potri.001G045100	GO:0006694
Potri.001G045100	GO:0016616
Potri.001G045100	GO:0055114
Potri.001G045200	GO:0015079
Potri.001G045200	GO:0016020
Potri.001G045200	GO:0071805
Potri.001G045300	GO:0003824
Potri.001G045300	GO:0050662
Potri.001G045500	GO:0003824
Potri.001G045500	GO:0003854
Potri.001G045500	GO:0006694
Potri.001G045500	GO:0016616
Potri.001G045500	GO:0050662
Potri.001G045500	GO:0055114
Potri.001G045600	GO:0003824
Potri.001G045600	GO:0050662
Potri.001G045800	GO:0003824
Potri.001G045800	GO:0050662
Potri.001G045900	GO:0003854
Potri.001G045900	GO:0006694
Potri.001G045900	GO:0016616
Potri.001G045900	GO:0055114
Potri.001G046100	GO:0003854
Potri.001G046100	GO:0006694
Potri.001G046100	GO:0016616
Potri.001G046100	GO:0055114
Potri.001G046400	GO:0003824
Potri.001G046400	GO:0003854
Potri.001G046400	GO:0006694
Potri.001G046400	GO:0016616
Potri.001G046400	GO:0050662
Potri.001G046400	GO:0055114
Potri.001G046600	GO:0003735
Potri.001G046600	GO:0005622
Potri.001G046600	GO:0005840
Potri.001G046600	GO:0006412
Potri.001G046700	GO:0005634
Potri.001G046800	GO:0005215
Potri.001G046800	GO:0006810
Potri.001G046800	GO:0016020
Potri.001G047100	GO:0000139
Potri.001G047100	GO:0005801
